,Sample Name,Project,Collection Date,Survey #,Station,Location,Tow #,Fish Per Vial,Fish Size,EtOh Date,# of Days in Formalin,EtOH vial Type,Lab ID,Genetics Results,# of Photos taken ,Comments,,Average days in Formalin
1,HYPO-0049,SLS,3/10/2026,6,711,Sac. River System,NA,Individual,6,4/14/2026,35,1mL Twist top,Hypomesus,,5,"Very skinny, heavily pigmented, large eyes",,19.3943662
2,HYPO-0050,SLS,3/10/2026,6,711,Sac. River System,NA,Individual,6,4/14/2026,35,1mL Twist top,Hypomesus,,5,"Has some yolk sac, very pigmented, very skinny, large eyes",,
3,HYPO-0051,20mm,3/16/2026,1,704,Sac. River System,2,Individual,9,4/17/2026,32,1mL Twist top,Wakasagi,,10,"Large eyes+pointy nape;same lateral-ventral pigments above gut, tiny pigments above gut, tiny pigments on celing of the air bladder",,
4,HYPO-0053,20mm,3/17/2026,1,804,Confluence,1,Individual,6,3/27/2026,10,1mL Twist top,Wakasagi,,5,,,
5,HYPO-0054,20mm,3/17/2026,1,719,Sac. River System,3,Individual,14,3/27/2026,10,1mL Twist top,Wakasagi,,5,"Big eye, pigmentation at cealing of airbladder, midventral lateral pigmentation, sharp nape ",,
6,HYPO-0055,20mm,3/17/2026,1,719,Sac. River System,3,Individual,14,3/27/2026,10,1mL Twist top,Wakasagi,,5,"Faint dorsal pigment, latteral pigment, sharp nape, big eyes, pigmentation at cealing of airbladder starting to show",,
7,HYPO-0056,20mm,3/16/2026,1,711,Sac. River System,2,Individual,6,3/27/2026,11,1mL Twist top,Wakasagi,,8,,,
8,HYPO-0057,20mm,3/16/2026,1,711,Sac. River System,3,Individual,6,3/27/2026,11,1mL Twist top,Wakasagi,,12,,,
9,HYPO-0058,20mm,3/17/2026,1,719,Sac. River System,1,Individual,8,3/30/2026,13,1mL Twist top,Wakasagi,,4,"Dorsal pigment on caudal peduncle, big eyes",,
10,HYPO-0059,20mm,3/17/2026,1,719,Sac. River System,1,Individual,10,3/30/2026,13,1mL Twist top,Wakasagi,,6,"Large eye socket, sharp nape",,
11,HYPO-0060,20mm,3/17/2026,1,719,Sac. River System,1,Individual,10,3/30/2026,13,1mL Twist top,Wakasagi,,4,"Large eyes, caudal peduncle dorsal pigment",,
12,HYPO-0061,20mm,3/17/2026,1,719,Sac. River System,2,Individual,10,3/30/2026,13,1mL Twist top,Wakasagi,,6,"Dorsal pigment on caudal peduncle, big eyes, deep notch, faint pigmentation at cealing of airbladder",,
13,HYPO-0062,20mm,3/17/2026,1,719,Sac. River System,2,Individual,12,3/30/2026,13,1mL Twist top,Wakasagi,,7,"Large eyes, caudal peduncle dorsal pigment, lateral pigment, deep notch",,
14,HYPO-0063,20mm,3/17/2026,1,719,Sac. River System,2,Individual,10,3/30/2026,13,1mL Twist top,Wakasagi,,6,"Deep notch, ""ticker body"" than LFS, eye ""not too big""",,
15,HYPO-0064,20mm,3/17/2026,1,719,Sac. River System,2,Individual,9,3/30/2026,13,1mL Twist top,Wakasagi,,9,"Eye doesn’t ""seem big"", deep notch, dorsal caudal pigment",,
16,HYPO-0065,20mm,3/17/2026,1,719,Sac. River System,2,Individual,8,3/30/2026,13,1mL Twist top,Wakasagi,,7,"Large eye, caudal melanophores, deep notch",,
17,HYPO-0066,20mm,3/17/2026,1,719,Sac. River System,2,Individual,Fragment,4/1/2026,15,1mL Twist top,Osmeridae,,5,,,
18,HYPO-0067,20mm,3/16/2026,1,706,Sac. River System,1,Individual,10,4/1/2026,16,1mL Twist top,Wakasagi,,8,"Large eyes compared to head, post anal pigmentation very ""spaced out"", dorsal gut pigmentation",,
19,HYPO-0068,20mm,3/30/2026,2,815,Central & South Delta,2,Individual,7,4/3/2026,4,1mL Twist top,Osmeridae,,9,Possible Hypo,,
20,HYPO-0069,20mm,3/30/2026,2,919,Central & South Delta,3,Individual,7,4/3/2026,4,1mL Twist top,Wakasagi,,8,,,
21,HYPO-0070,20mm,3/30/2026,2,906,Central & South Delta,1,Individual,6,4/4/2026,5,1mL Twist top,Wakasagi,,8,,,
22,HYPO-0072,20mm,4/1/2026,2,801,Confluence,2,Individual,7,4/15/2026,14,1mL Twist top,Hypomesus,,12,,,
23,HYPO-0075,20mm,3/17/2026,1,726,Sac. River System,1,Individual,10,4/15/2026,29,1mL Twist top,Wakasagi,,10,"Post-anal pigmentation, air bladder not really inflated too much, large eyes, pointy napes, lateral-ventral pigments above gut",,
24,HYPO-0076,20mm,3/17/2026,1,726,Sac. River System,1,Individual,8,4/15/2026,29,1mL Twist top,Wakasagi,,12,"Small brachoal basket/ overall head=small, large eyes, pointy napes, lateral-ventral pigments above gut",,
25,HYPO-0077,20mm,3/17/2026,1,726,Sac. River System,1,Individual,8,4/15/2026,29,1mL Twist top,Wakasagi,,9,"lots of ventral pigmentation along gut, large eyes, pointy napes, lateral-ventral pigments above gut",,
26,HYPO-0078,20mm,3/17/2026,1,726,Sac. River System,1,Individual,6,4/15/2026,29,1mL Twist top,Wakasagi,,7,"no yolk sac visable, large eyes, pointy napes, lateral-ventral pigments above gut",,
27,HYPO-0079,20mm,3/17/2026,1,726,Sac. River System,2,Individual,5,4/15/2026,29,1mL Twist top,Wakasagi,,11,"Fish had a small oil globule before handeling,  large eyes, pointy napes, lateral-ventral pigments above gut",,
28,HYPO-0080,20mm,3/17/2026,1,726,Sac. River System,2,Individual,6,4/15/2026,29,1mL Twist top,Wakasagi,,9,"pigentation on caudal peduncle, after anus,  large eyes, pointy napes, lateral-ventral pigments above gut",,
29,HYPO-0081,20mm,3/17/2026,1,716,Sac. River System,2,Individual,12,4/17/2026,31,1mL Twist top,Wakasagi,,12,Large eye+pointy nape; skiny; lots of melanophores above and below gut; one melanophore on air bladder celing; one side of fish has a tiny pigment at base of pectoral fin,,
30,HYPO-0082,20mm,3/30/2026,2,719,Sac. River System,1,Individual,13,4/21/2026,22,1mL Twist top,Wakasagi,,13,,,
31,HYPO-0083,20mm,3/30/2026,2,719,Sac. River System,1,Individual,16,4/21/2026,22,1mL Twist top,Wakasagi,,9,,,
32,HYPO-0084,20mm,3/30/2026,2,719,Sac. River System,1,Individual,17,4/21/2026,22,1mL Twist top,Wakasagi,,7,,,
33,HYPO-0085,20mm,3/30/2026,2,719,Sac. River System,1,Individual,17,4/21/2026,22,1mL Twist top,Wakasagi,,8,,,
34,HYPO-0086,20mm,3/30/2026,2,719,Sac. River System,1,Individual,21,4/21/2026,22,1mL Twist top,Hypomesus,,12,,,
35,HYPO-0087,20mm,3/17/2026,1,718,Sac. River System,3,Individual,8,4/21/2026,35,1mL Twist top,Wakasagi,Wakasagi,12,The eyes look to be close together from a dorsal view; there are a few melanopores above the large intestine/lateral-ventral pigmentation; the gut ratio was calculated to be about 74%; the nape ratio is about 5%; the anus looked pretty straight at the end,,
36,HYPO-0088,20mm,3/30/2026,2,723,Sac. River System,1,Individual,12,4/23/2026,24,1mL Twist top,Wakasagi,,9,,,
37,HYPO-0089,20mm,3/30/2026,2,719,Sac. River System,2,Individual,15,4/23/2026,24,1mL Twist top,Wakasagi,,7,,,
38,HYPO-0090,20mm,3/30/2026,2,719,Sac. River System,2,Individual,17,4/23/2026,24,1mL Twist top,Wakasagi,,8,,,
39,HYPO-0091,20mm,3/30/2026,2,719,Sac. River System,2,Individual,17,4/23/2026,24,1mL Twist top,Wakasagi,,6,,,
40,HYPO-0092,20mm,3/30/2026,2,719,Sac. River System,2,Individual,18,4/23/2026,24,1mL Twist top,Wakasagi,,9,,,
41,HYPO-0093,20mm,3/30/2026,2,719,Sac. River System,2,Individual,13,4/23/2026,24,1mL Twist top,Wakasagi,,7,,,
42,HYPO-0094,20mm,4/15/2026,3,719,Sac. River System,1,Individual,12,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,9,"Pectoral girdle pigment, lateral ventral pigments, large eye and pointy nape",,
43,HYPO-0095,20mm,4/15/2026,3,719,Sac. River System,1,Individual,28,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,5,"Large eye, very 'pointy' dorsal fin",,
44,HYPO-0096,20mm,4/15/2026,3,719,Sac. River System,1,Individual,28,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,6,"Large eye, very 'pointy' dorsal fin",,
45,HYPO-0097,20mm,4/15/2026,3,719,Sac. River System,1,Individual,Fragment,4/24/2026,9,1mL Twist top,Hypomesus,Hypomesus,4,"Half of a fish. Dorsal fin kind of looks similar to # 95 and #96, but without looking at the eye I am saying Hypo. I think it is probably a Wakasagi.",,
46,HYPO-0098,20mm,4/27/2026,4,812,Sac. River System,2,Individual,7,4/27/2026,0,1mL Twist top,Wakasagi,Wakasagi,6,,,
47,HYPO-0099,20mm,4/1/2026,2,704,Sac. River System,2,Individual,8,4/27/2026,26,1mL Twist top,Wakasagi,Wakasagi,6,"Large eye, has dorsal pigment on caudal region, has the lateral ventral pigmentation more than >50% of the gut length, ",,
48,HYPO-0100,20mm,4/14/2026,3,804,Sac. River System,3,Individual,11,4/28/2026,14,1mL Twist top,Hypomesus,,8,,,
49,HYPO-0103,20mm,4/15/2026,3,719,Sac. River System,2,Individual,15,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,5,"Pectoral girdle pigment, air bladder pigments and inflation",,
50,HYPO-0104,20mm,4/15/2026,3,719,Sac. River System,2,Individual,15,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,5,"Flexion pigments, migration of adipose, inflated air bladder, dorsal fin shape",,
51,HYPO-0105,20mm,4/15/2026,3,719,Sac. River System,2,Individual,21,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,5,"Flexion pigments, migration of adipose, inflated air bladder, dorsal fin shape",,
52,HYPO-0106,20mm,4/15/2026,3,719,Sac. River System,2,Individual,21,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,5,"Flexion pigments, migration of adipose, inflated air bladder, dorsal fin shape",,
53,HYPO-0107,20mm,4/15/2026,3,719,Sac. River System,2,Individual,22,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,5,"Flexion pigments, migration of adipose, inflated air bladder, dorsal fin shape",,
54,HYPO-0108,20mm,4/15/2026,3,719,Sac. River System,2,Individual,28,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,6,"Very large eye, superior mouth, dorsal fin shape",,
55,HYPO-0109,20mm,4/15/2026,3,719,Sac. River System,3,Individual,12,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,5,Lateral ventral pigments,,
56,HYPO-0110,20mm,4/15/2026,3,719,Sac. River System,3,Individual,16,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,5,"Pectoral girdle pigment, air bladder pigments and inflation",,
57,HYPO-0111,20mm,4/15/2026,3,719,Sac. River System,3,Individual,16,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,5,"Pectoral girdle pigment, air bladder pigments and inflation",,
58,HYPO-0112,20mm,4/15/2026,3,719,Sac. River System,3,Individual,20,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,4,"Adipose migration, very long dorsal fin, very large eyes",,
59,HYPO-0113,20mm,4/15/2026,3,719,Sac. River System,3,Individual,20,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,6,"Adipose migration, very long dorsal fin, very large eyes",,
60,HYPO-0114,20mm,4/15/2026,3,719,Sac. River System,3,Individual,21,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,5,"Adipose migration, very long dorsal fin, very large eyes",,
61,HYPO-0115,20mm,4/15/2026,3,719,Sac. River System,3,Individual,22,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,6,"Adipose migration, very long dorsal fin, very large eyes",,
62,HYPO-0116,20mm,4/15/2026,3,719,Sac. River System,3,Individual,24,4/24/2026,9,1mL Twist top,Wakasagi,Wakasagi,5,"Adipose migration, very long dorsal fin, very large eyes",,
63,HYPO-0119,20mm,4/27/2026,4,815,Central & South Delta,1,Individual,9,4/29/2026,2,1mL Twist top,Wakasagi,,10,,,
64,HYPO-0120,20mm,3/30/2026,2,724,Sac. River System,3,Individual,10,4/30/2026,31,1mL Twist top,Wakasagi,,9,"A few lateral ventral pigments, air bladder is starting to inflate ",,
65,HYPO-0121,20mm,3/30/2026,2,724,Sac. River System,3,Individual,11,4/30/2026,31,1mL Twist top,Wakasagi,,7,"Lots of lateral ventral pigments, pigment on air bladder ceiling, pectoral girdle pigment, large eyes ",,
66,HYPO-0143,20mm,3/17/2026,1,723,Sac. River System,2,Individual,10,5/5/2026,49,1mL Twist top,Wakasagi,"Lateral ventral pigments, skinny body, possible postanal dorsum pigment (the caudal fin is dried up, so maybe dorsal pigment but hard to tell for sure)",7,"Lateral ventral pigments, skinny body, possible postanal dorsum pigment (the caudal fin is dried up, so maybe dorsal pigment but hard to tell for sure)",,
67,HYPO-0144,20mm,3/18/2026,1,602,Suisun Bay & Marsh,3,Individual,6,5/6/2026,49,1mL Twist top,Wakasagi,,13,,,
68,HYPO-0147,20mm,3/17/2026,1,724,Sac. River System,3,Individual,6,5/6/2026,50,1mL Twist top,Hypomesus,,5,,,
69,HYPO-0151,20mm,3/17/2026,1,724,Sac. River System,2,Individual,6,5/7/2026,51,1mL Twist top,Hypomesus,,9,"A little beat up, lots of the fin fold is missing and hard to tell what melanophores are ventral/below the gut. The post anal melanophores do look like a Wak, along with the skinny body and pointy nape. Just not enough traits for me to confidently call it a Wak",,
70,HYPO-0152,20mm,3/17/2026,1,724,Sac. River System,2,Individual,12,5/7/2026,51,1mL Twist top,Wakasagi,,10,"Lateral ventral pigments, pigments on the ceiling of the air bladder, pectoral girdle pigments on both sides, big eye, pointy nape",,
71,HYPO-0153,20mm,3/17/2026,1,726,Sac. River System,3,Individual,14,5/7/2026,51,1mL Twist top,Wakasagi,,8,"*This fish was very dark. I had to use the LED light on the highest setting in addition to the above goose neck lights to see the following features! Features: Air bladder is inflated, postanal dorsum pigment, can see a few lateral-ventral pigments that would be above the large intestine, and there might be some pigments where the air bladder ceiling is supposed to be (very hard to position the fish to see this without ruining the fish even more...)",,
72,HYPO-0122-A,20mm,4/15/2026,3,724,Sac. River System,1,64,13,4/22/2026,7,,Wakasagi,,,,,
73,HYPO-0122-B,20mm,4/15/2026,3,724,Sac. River System,1,64,14,4/22/2026,7,,Wakasagi,,,,,
74,HYPO-0122-C,20mm,4/15/2026,3,724,Sac. River System,1,64,17,4/22/2026,7,,Wakasagi,,,,,
75,HYPO-0122-D,20mm,4/15/2026,3,724,Sac. River System,1,64,11,4/22/2026,7,,Wakasagi,,,,,
76,HYPO-0122-E,20mm,4/15/2026,3,724,Sac. River System,1,64,13,4/22/2026,7,,Wakasagi,,,,,
77,HYPO-0123-A,20mm,4/15/2026,3,724,Sac. River System,2,82,11,4/22/2026,7,,Wakasagi,,,,,
78,HYPO-0123-B,20mm,4/15/2026,3,724,Sac. River System,2,82,13,4/22/2026,7,,Wakasagi,,,,,
79,HYPO-0123-C,20mm,4/15/2026,3,724,Sac. River System,2,82,12,4/22/2026,7,,Wakasagi,,,,,
80,HYPO-0123-D,20mm,4/15/2026,3,724,Sac. River System,2,82,14,4/22/2026,7,,Wakasagi,,,,,
81,HYPO-0123-E,20mm,4/15/2026,3,724,Sac. River System,2,82,15,4/22/2026,7,,Wakasagi,,,,,
82,HYPO-0124-A,20mm,4/15/2026,3,724,Sac. River System,3,91,16,4/23/2026,8,,Wakasagi,,,,,
83,HYPO-0124-B,20mm,4/15/2026,3,724,Sac. River System,3,91,15,4/23/2026,8,,Wakasagi,,,,,
84,HYPO-0124-C,20mm,4/15/2026,3,724,Sac. River System,3,91,15,4/23/2026,8,,Wakasagi,,,,,
85,HYPO-0124-D,20mm,4/15/2026,3,724,Sac. River System,3,91,13,4/23/2026,8,,Wakasagi,,,,,
86,HYPO-0124-E,20mm,4/15/2026,3,724,Sac. River System,3,91,14,4/23/2026,8,,Wakasagi,,,,,
87,HYPO-0125-A,20mm,4/15/2026,3,726,Sac. River System,1,342,16,4/22/2026,7,,Wakasagi,,,,,
88,HYPO-0125-B,20mm,4/15/2026,3,726,Sac. River System,1,342,17,4/22/2026,7,,Wakasagi,,,,,
89,HYPO-0125-C,20mm,4/15/2026,3,726,Sac. River System,1,342,13,4/22/2026,7,,Wakasagi,,,,,
90,HYPO-0125-D,20mm,4/15/2026,3,726,Sac. River System,1,342,13,4/22/2026,7,,Wakasagi,,,,,
91,HYPO-0125-E,20mm,4/15/2026,3,726,Sac. River System,1,342,9,4/22/2026,7,,Wakasagi,,,,,
92,HYPO-0126-A,20mm,4/15/2026,3,726,Sac. River System,2,237,16,4/22/2026,7,,Wakasagi,,,,,
93,HYPO-0126-B,20mm,4/15/2026,3,726,Sac. River System,2,237,17,4/22/2026,7,,Wakasagi,,,,,
94,HYPO-0126-C,20mm,4/15/2026,3,726,Sac. River System,2,237,13,4/22/2026,7,,Wakasagi,,,,,
95,HYPO-0126-D,20mm,4/15/2026,3,726,Sac. River System,2,237,13,4/22/2026,7,,Wakasagi,,,,,
96,HYPO-0126-E,20mm,4/15/2026,3,726,Sac. River System,2,237,9,4/22/2026,7,,Wakasagi,,,,,
97,HYPO-0127-A,20mm,4/15/2026,3,726,Sac. River System,3,76,17,4/22/2026,7,,Wakasagi,,,,,
98,HYPO-0127-B,20mm,4/15/2026,3,726,Sac. River System,3,76,12,4/22/2026,7,,Wakasagi,,,,,
99,HYPO-0127-C,20mm,4/15/2026,3,726,Sac. River System,3,76,14,4/22/2026,7,,Wakasagi,,,,,
100,HYPO-0127-D,20mm,4/15/2026,3,726,Sac. River System,3,76,14,4/22/2026,7,,Wakasagi,,,,,
101,HYPO-0127-E,20mm,4/15/2026,3,726,Sac. River System,3,76,13,4/22/2026,7,,Wakasagi,,,,,
